age,children
19,0
18,1
28,3
33,0
32,0
31,0
46,1
37,3
37,2
60,0
25,0
62,0
23,0
56,0
27,0
19,1
52,1
23,0
56,0
30,0
60,0
30,1
18,0
34,1
37,2
59,3
63,0
55,2
23,1
31,2
22,0
18,0
19,5
63,0
28,1
19,0
62,3
26,0
35,1
60,0
24,0
31,2
41,1
37,2
38,1
55,0
18,2
28,0
60,0
36,1
18,0
21,2
48,1
36,0
40,3
58,2
58,2
18,2
53,1
34,2
43,3
25,4
64,1
28,1
20,0
19,0
61,2
40,1
40,0
28,3
27,0
31,5
53,3
58,1
44,2
57,0
29,1
21,0
22,0
41,0
31,1
45,0
22,1
48,4
37,2
45,2
57,0
56,0
46,0
55,0
21,0
53,1
59,3
35,2
64,2
28,1
54,3
55,0
56,0
38,0
41,0
30,0
18,0
61,3
34,1
20,1
19,1
26,2
29,0
63,0
54,1
55,2
37,0
21,0
52,3
60,0
58,0
29,1
49,0
37,2
44,2
18,0
20,0
44,1
47,3
26,0
19,0
52,0
32,2
38,2
59,0
61,0
53,2
19,0
20,0
22,0
19,0
22,0
54,3
22,0
34,2
26,1
34,2
29,2
30,3
29,3
46,3
51,1
53,1
19,1
35,1
48,0
32,3
42,0
40,1
44,0
48,0
18,0
30,0
50,3
42,0
18,0
54,1
32,2
37,0
47,4
20,5
32,3
19,1
27,3
63,0
49,0
18,0
35,1
24,0
63,0
38,2
54,1
46,2
41,3
58,0
18,0
22,3
44,0
44,2
36,3
26,2
30,3
41,1
29,2
61,0
36,0
25,0
56,1
18,0
19,0
39,0
45,2
51,0
64,0
19,0
48,1
60,0
27,0
46,0
28,1
59,0
35,2
63,0
40,1
20,1
40,4
24,2
34,1
45,2
41,2
53,0
27,0
26,1
24,0
34,1
53,0
32,3
19,0
42,0
55,3
28,0
58,0
41,1
47,2
42,1
59,3
19,0
59,1
39,2
40,2
18,0
31,2
19,0
44,1
23,2
33,1
55,1
40,3
63,0
54,0
60,0
24,0
19,1
29,1
18,2
63,2
54,2
27,3
50,0
55,3
56,0
38,0
51,4
19,0
58,0
20,1
52,3
19,0
53,3
46,3
40,1
59,3
45,1
49,1
18,1
50,2
41,2
50,1
25,0
47,2
19,2
22,0
59,2
51,1
40,1
54,3
30,1
55,1
52,0
46,1
46,2
63,0
59,1
52,3
28,0
29,1
25,2
22,0
25,3
18,0
19,0
47,1
31,3
48,1
36,3
53,3
56,2
28,2
57,2
29,2
28,2
30,1
58,0
41,2
50,0
19,0
43,3
49,0
27,0
52,0
50,0
54,0
44,0
32,1
34,1
26,4
34,0
57,0
29,0
40,1
27,1
45,2
64,1
52,0
61,1
52,0
61,0
56,0
43,2
64,0
60,0
62,1
50,1
46,1
24,0
62,0
60,0
63,0
49,4
34,3
33,2
46,1
36,1
19,0
57,0
50,0
30,0
33,0
18,0
46,0
46,3
47,3
23,0
18,0
48,2
35,1
19,0
21,1
21,2
49,1
56,3
42,2
44,2
18,3
61,0
57,0
42,1
26,2
20,0
23,0
39,3
24,0
64,3
62,1
27,2
55,0
55,0
35,2
44,2
19,0
58,0
50,2
26,0
24,3
48,4
19,0
48,1
49,1
46,2
46,0
43,3
21,0
64,2
18,0
51,0
47,1
64,0
49,3
31,0
52,2
33,0
47,1
38,3
32,1
19,0
44,1
26,2
25,5
19,0
43,1
52,0
36,2
64,1
63,0
64,0
61,0
40,1
25,0
48,2
45,5
38,1
18,0
21,1
27,3
19,0
29,2
42,0
60,0
31,1
60,3
22,0
35,3
52,5
26,0
31,1
33,0
18,0
59,1
56,1
45,0
60,0
56,0
40,0
35,1
39,4
30,1
24,0
20,0
32,2
59,0
55,2
57,0
56,0
40,3
49,3
42,0
62,2
56,0
19,0
30,1
60,1
56,2
28,1
18,1
27,0
18,0
19,0
47,0
54,3
61,1
24,0
25,0
21,0
23,0
63,3
49,2
18,0
51,1
48,3
31,0
54,3
19,0
44,0
53,1
19,0
61,0
18,0
61,0
21,4
20,0
31,2
45,2
44,2
62,0
29,0
43,0
51,1
19,0
38,1
37,3
22,1
21,2
24,0
57,0
56,1
27,0
51,0
19,0
39,1
58,0
20,1
45,2
35,1
31,0
50,0
32,0
51,0
38,0
42,1
18,0
19,2
51,1
46,1
18,0
57,1
62,0
59,2
37,0
64,0
38,1
33,3
46,2
46,1
53,0
34,3
20,2
63,0
54,0
54,0
49,2
28,0
54,2
25,0
43,0
63,0
32,0
62,0
52,2
25,0
28,2
46,1
34,0
35,3
19,0
46,2
54,0
27,0
50,1
18,2
19,0
38,1
41,2
49,5
48,2
31,0
18,1
30,2
62,1
57,2
58,0
22,0
31,1
52,1
25,0
59,1
19,0
39,2
32,1
19,0
33,1
21,3
34,1
61,0
38,1
58,0
47,1
20,2
21,1
41,0
46,1
42,2
34,1
43,2
52,2
18,0
51,0
56,0
64,3
19,0
51,0
27,0
59,0
28,2
30,2
47,1
38,2
18,0
34,3
20,0
47,1
56,0
49,2
19,0
55,0
30,1
37,4
49,1
18,0
59,0
29,0
36,3
33,1
58,0
44,0
53,1
24,0
29,0
40,2
51,1
64,0
19,1
35,2
39,0
56,4
33,5
42,3
61,0
23,3
43,2
48,3
39,1
40,3
18,0
58,0
49,2
53,1
48,0
45,2
59,0
52,2
26,1
27,2
48,1
57,4
37,3
57,1
32,1
18,0
64,0
43,2
49,1
40,2
62,0
40,1
30,3
29,0
36,0
41,0
44,2
45,0
55,3
60,3
56,3
49,2
21,1
19,0
39,2
53,0
33,1
53,2
42,2
40,0
47,1
27,1
21,0
47,1
20,1
24,0
27,1
26,0
53,2
41,1
56,0
23,2
21,0
50,0
53,0
34,1
47,1
33,2
51,0
49,3
31,3
36,0
18,1
50,2
43,2
20,0
24,0
60,0
49,1
60,1
51,2
58,0
51,0
53,3
62,0
19,0
50,1
30,3
41,1
29,1
18,0
41,1
35,3
53,1
24,3
48,1
59,3
49,1
37,0
26,2
23,3
29,2
45,2
27,0
53,0
31,0
50,0
50,1
34,2
19,0
47,1
28,0
37,0
21,0
64,0
58,0
24,4
31,2
39,3
47,0
30,3
18,0
22,2
23,1
33,1
27,0
45,2
57,0
47,1
42,1
64,0
38,2
61,3
53,2
44,0
19,0
41,2
51,3
40,2
45,0
35,3
53,0
30,3
18,0
51,1
50,1
31,1
35,3
60,0
21,0
29,3
62,0
39,0
19,0
22,0
53,0
39,2
27,0
30,2
30,1
58,0
33,0
42,1
64,0
21,1
18,0
23,0
45,0
40,1
19,0
18,0
25,1
46,3
33,3
54,2
28,2
36,2
20,0
24,0
23,3
47,1
33,0
45,1
26,0
18,0
44,2
60,0
64,2
56,2
36,1
41,3
39,1
63,0
36,0
28,2
58,0
36,1
42,2
36,0
56,0
35,2
59,0
21,0
59,0
23,2
57,0
53,0
60,0
51,1
23,1
27,0
55,0
37,0
61,2
46,0
53,2
49,3
20,0
48,0
25,0
25,1
57,0
37,2
38,3
55,2
36,0
51,0
40,2
18,0
57,1
61,0
25,3
50,0
26,1
42,0
43,1
44,3
23,0
49,1
33,5
41,1
37,2
22,3
23,1
21,0
51,3
25,4
32,1
57,0
36,0
22,0
57,1
64,0
36,4
54,0
47,2
62,0
61,0
43,2
19,1
18,0
19,0
49,0
60,0
26,3
49,0
60,0
26,2
27,3
44,1
63,3
32,0
22,1
18,0
59,3
44,1
33,2
24,0
43,0
45,0
61,0
35,1
62,0
62,0
38,1
34,0
43,0
50,2
19,2
57,1
62,0
41,1
26,1
39,1
46,5
45,0
32,2
59,0
44,2
39,5
18,2
53,0
18,0
50,1
18,0
19,0
62,0
56,1
42,2
37,1
42,0
25,3
57,0
51,2
30,1
44,2
34,1
31,1
54,1
24,1
43,1
48,1
19,1
29,0
63,1
46,3
52,2
35,1
51,2
44,1
21,2
39,5
50,3
34,0
22,0
19,0
26,0
29,0
48,0
26,1
45,3
36,0
54,1
34,0
31,3
27,1
20,5
44,1
43,3
45,1
34,0
24,0
26,1
38,2
50,2
38,1
27,3
39,3
39,3
63,0
33,3
36,0
30,2
24,0
24,0
48,0
47,1
29,2
28,2
47,3
25,2
51,1
48,0
43,2
61,4
48,1
38,0
59,0
19,1
26,2
54,3
21,2
51,0
22,3
47,1
18,1
47,1
21,0
19,1
23,0
54,0
37,2
46,1
55,0
30,0
18,0
61,0
54,3
22,2
45,1
22,0
19,2
35,0
18,0
20,0
28,0
55,1
43,2
43,0
22,1
25,1
49,0
44,1
64,0
49,1
47,3
27,0
55,0
48,0
45,0
24,0
32,1
24,0
57,1
59,1
36,3
29,4
42,1
48,2
39,0
63,1
54,1
37,1
63,0
21,0
54,2
60,0
32,1
47,1
21,0
28,0
63,3
18,2
32,1
38,1
32,1
62,2
39,5
55,0
57,0
52,1
56,0
47,0
55,0
23,3
22,0
50,4
18,4
51,2
22,0
52,0
25,1
33,2
53,3
29,1
58,0
37,0
54,0
49,0
50,2
26,1
45,3
54,1
38,3
48,3
28,3
23,0
55,1
41,5
25,2
33,1
30,3
23,0
46,2
53,3
27,1
23,1
63,0
55,0
35,2
34,1
19,0
39,5
27,2
57,0
52,0
28,0
50,3
44,1
26,0
33,0
19,0
50,1
41,3
52,0
39,2
50,2
52,3
60,0
20,0
55,1
42,0
18,0
58,0
43,3
35,1
48,4
36,3
19,0
23,2
20,0
32,0
43,1
34,2
30,1
18,0
41,1
35,0
57,0
29,2
32,2
37,1
18,1
43,2
56,0
38,2
29,2
22,0
52,1
40,1
23,0
31,0
42,1
24,0
25,0
48,1
23,1
45,2
20,3
62,0
43,1
23,0
31,2
41,1
58,1
48,0
31,0
19,3
19,0
41,0
40,1
31,2
37,2
46,2
22,0
51,1
18,3
35,1
59,2
36,2
37,1
59,1
36,1
39,2
18,0
52,2
27,1
18,0
40,0
29,2
46,1
38,3
30,1
40,2
50,0
20,0
41,1
33,1
38,2
42,2
56,0
58,0
52,3
20,0
54,3
58,0
45,2
26,0
63,0
58,0
37,3
25,1
52,2
64,2
22,3
28,0
18,0
28,5
45,3
33,4
18,0
32,1
24,0
19,0
20,0
40,4
34,0
42,0
51,3
54,1
55,3
52,0
32,0
28,1
41,1
43,1
49,2
64,0
55,0
24,0
20,0
45,3
26,1
25,0
43,5
35,1
26,0
57,0
22,0
32,0
39,1
25,2
48,0
47,2
18,0
18,1
61,1
47,0
28,0
36,1
20,2
44,1
38,2
19,0
21,0
46,3
58,0
20,1
18,0
28,2
33,2
19,1
45,0
62,3
25,1
43,0
42,2
24,0
29,0
32,4
25,0
41,2
42,1
33,0
34,1
19,2
30,3
18,1
19,0
18,0
35,4
39,2
31,3
62,0
62,0
42,2
31,1
61,0
42,0
51,1
23,2
52,2
57,2
23,0
52,3
50,3
18,0
18,0
21,0
61,0